code,funding,fundpop,fundeq,fundpov,fundter,pop,popurb,cases,shp2,dep,mun,area,party,trfpop,dens,infpop,quintile,grp,agr
0708,636468.28,298197.331842604,182919.8454961832,88523.36393401251,66827.737851879,6546,14.5,44,120,La Unión,El Carmen,105.38,PDC,97.23010693553316,0.06211804896564813,6.7216620837152465,3,5,5
0709,848144.8200000001,421565.906625875,182919.8454961832,198645.6652044704,45013.4097527277,13385,53,43,123,La Unión,La Unión,144.43,ARENA,63.36532088158387,0.09267465208059267,3.212551363466567,4,2,3
0710,591031.22,295310.122407973,182919.8454961832,87666.2650714551,25134.99135959841,6799,17.3,16,132,La Unión,Yucuaiquín,55.18,FMLN,86.9291395793499,0.12321493294671983,2.3532872481247242,3,4,4
0711,782022.6599999999,406586.402735616,182919.8454961832,153269.7507161396,39246.6596872599,9637,14,74,125,La Unión,Nueva Esparta,86.16,ARENA,81.14793607969284,0.11185004642525534,7.678738196534191,4,2,3
0712,684513.9199999999,321294.967319648,182919.8454961832,122631.6419300346,57667.4506546785,9701,10.5,45,127,La Unión,Polorós,126.6,ARENA,70.5611710132976,0.07662717219589259,4.638697041542109,3,2,3
0713,420706,170820.6350206693,182919.8454961832,43465.8001660601,23499.711372629252,4215,12.3,17,116,La Unión,Anamorós,108,ARENA,99.81162514827996,0.03902777777777778,4.0332147093712925,2,4,4
0714,508027.11,219359.64869228122,182919.8454961832,74422.2596725436,31325.358301913402,8179,12.1,35,117,La Unión,Bolívar,51.59,ARENA,62.11359701675021,0.1585384764489242,4.279251742266781,2,2,3
0715,563915.82,244597.2218679339,182919.8454961832,93357.70143442,43041.053111062996,7567,13.7,53,121,La Unión,El Sauce,146.71,ARENA,74.52303687062243,0.051577942880512574,7.004096735826615,3,2,3
0716,378591.99,135019.2900312508,182919.8454961832,40082.055631358904,20570.79017034187,2971,27.4,22,129,La Unión,San José las Fuentes,45.16,GANA,127.42914506900033,0.06578830823737822,7.404914170313026,1,5,5
0717,448181.06,183830.0470614162,182919.8454961832,62368.1096357705,19063.05945812239,6871,42.2,39,131,La Unión,Yayantique,41.86,ARENA,65.22792315529036,0.16414237935977066,5.676029690001455,2,2,3
0718,343731.96,114401.253951007,182919.8454961832,38812.9734836059,7597.89108151688,2398,4.8,22,124,La Unión,Lislique,98.82,ARENA,143.3411009174312,0.02426634284557782,9.174311926605505,1,5,5
0801,1810594.33,981717.646114015,182919.8454961832,499601.75861780497,146355.0677752622,65826,64,606,115,La Paz,Zacatecoluca,321.3,FMLN,27.505762616595266,0.20487394957983193,9.206088779509615,5,3,2
0802,1295232.56,773845.674654582,182919.8454961832,281296.081957565,57170.9499065458,39887,30.1,143,113,La Paz,Santiago Nonualco,121.51,GANA,32.47254895078597,0.32826104847337667,3.585127986562038,5,2,3
0803,638576.19,334042.832752787,182919.8454961832,94442.3956083792,27171.117638638003,17256,44,96,103,La Paz,San Juan Nonualco,59.65,ARENA,37.006037899860914,0.2892875104777871,5.563282336578581,3,2,3
0804,1042709.47,586761.585124488,182919.8454961832,217733.79622589488,55294.2477209433,25446,51.5,98,109,La Paz,San Pedro Masahuat,121.39,ARENA,40.97734300086457,0.20962187989125958,3.8512929340564335,5,2,3
0805,850871.19,488881.933373531,182919.8454961832,138219.3486052164,40850.0548555416,29529,53.9,179,98,La Paz,Olocuilta,89.68,ARENA,28.814764807477392,0.3292707404103479,6.061837515662568,4,2,3
